source_context,package_or_component,version_or_value,role,note
submitted_model_construction_pip_output,python,3.10,language_runtime,"Inferred from /usr/local/lib/python3.10/dist-packages in the submitted model-construction environment."
submitted_model_construction_pip_output,platform,Google Colab/Linux-style /usr/local environment,execution_environment,"Recorded from the user-provided submission-time package output."
submitted_model_construction_pip_output,tabpfn,0.1.11,primary_model_package,"Submitted model-construction environment."
submitted_model_construction_pip_output,numpy,1.25.2,numerical_computing,"Dependency of TabPFN/SHAP/imbalanced-learn/matplotlib in the submitted environment."
submitted_model_construction_pip_output,pandas,2.0.3,dataframe_processing,"Dependency observed through SHAP in the submitted environment."
submitted_model_construction_pip_output,scipy,1.11.4,statistics_and_scientific_computing,"Dependency of scikit-learn/SHAP/imbalanced-learn in the submitted environment."
submitted_model_construction_pip_output,scikit-learn,1.2.2,machine_learning,"Core classical-model and metric dependency."
submitted_model_construction_pip_output,imbalanced-learn,0.10.1,class_imbalance_resampling,"Provides RandomUnderSampler through imblearn."
submitted_model_construction_pip_output,imblearn,0.0,class_imbalance_resampling_meta_package,"Meta package installed in the submitted environment."
submitted_model_construction_pip_output,torch,2.3.1+cu121,deep_learning_backend,"CUDA 12.1 PyTorch build used by TabPFN in the submitted environment."
submitted_model_construction_pip_output,shap,0.46.0,model_interpretation,"Used for SHAP analyses in the submitted workflow."
submitted_model_construction_pip_output,matplotlib,3.7.1,plotting,"Used for submitted workflow plots."
submitted_model_construction_pip_output,japanize-matplotlib,1.1.3,plotting_font_support,"Japanese font support package."
submitted_model_construction_pip_output,pyyaml,6.0.1,package_dependency,"TabPFN dependency."
submitted_model_construction_pip_output,requests,2.31.0,package_dependency,"TabPFN dependency."
submitted_model_construction_pip_output,charset-normalizer,3.3.2,package_dependency,"Requests dependency."
submitted_model_construction_pip_output,idna,3.7,package_dependency,"Requests dependency."
submitted_model_construction_pip_output,urllib3,2.0.7,package_dependency,"Requests dependency."
submitted_model_construction_pip_output,certifi,2024.7.4,package_dependency,"Requests dependency."
submitted_model_construction_pip_output,joblib,1.4.2,parallelization_and_serialization,"scikit-learn dependency and model serialization utility."
submitted_model_construction_pip_output,threadpoolctl,3.5.0,package_dependency,"scikit-learn dependency."
submitted_model_construction_pip_output,filelock,3.15.4,package_dependency,"Torch dependency."
submitted_model_construction_pip_output,typing-extensions,4.12.2,package_dependency,"Torch dependency."
submitted_model_construction_pip_output,sympy,1.13.0,package_dependency,"Torch dependency."
submitted_model_construction_pip_output,networkx,3.3,package_dependency,"Torch dependency."
submitted_model_construction_pip_output,jinja2,3.1.4,package_dependency,"Torch dependency."
submitted_model_construction_pip_output,fsspec,2023.6.0,package_dependency,"Torch dependency."
submitted_model_construction_pip_output,nvidia-cuda-nvrtc-cu12,12.1.105,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-cuda-runtime-cu12,12.1.105,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-cuda-cupti-cu12,12.1.105,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-cudnn-cu12,8.9.2.26,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-cublas-cu12,12.1.3.1,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-cufft-cu12,11.0.2.54,cuda_runtime_dependency,"Torch CUDA dependency."
submitted_model_construction_pip_output,nvidia-curand-cu12,10.3.2.106,cuda_runtime_dependency,"Torch CUDA dependency."
